PMACC,PMAYEAR,COUNTY,GPSLONG,GPSLAT,EA_ID,DATUM,SURVEY
KE,2019,7. NANDI,35.13692405,0.18558733,404171031,WGS84,PMA
KE,2019,6. NAIROBI,36.88623571,-1.303402887,404161026,WGS84,PMA
KE,2019,6. NAIROBI,36.83562646,-1.278640067,404161030,WGS84,PMA
KE,2019,2. KERICHO,35.19503277,-0.394844283,404121014,WGS84,PMA
KE,2019,5. KITUI,38.16571648,-1.476582703,404151028,WGS84,PMA
KE,2019,5. KITUI,38.06191201,-0.946858652,404151020,WGS84,PMA
KE,2019,10. KAKAMEGA,34.94403938,0.707179848,404201002,WGS84,PMA
KE,2019,5. KITUI,37.90155611,-0.855010173,404151011,WGS84,PMA
KE,2019,8. NYAMIRA,34.92084377,-0.561343142,404181003,WGS84,PMA
KE,2019,7. NANDI,35.10166099,0.20824855,404171019,WGS84,PMA
KE,2019,11. WEST_POKOT,34.96041921,1.454706083,404211023,WGS84,PMA
KE,2019,6. NAIROBI,36.9280689,-1.263750202,404161014,WGS84,PMA
KE,2019,2. KERICHO,35.32357627,-0.106150307,404121024,WGS84,PMA
KE,2019,6. NAIROBI,36.83834194,-1.270154694,404161008,WGS84,PMA
KE,2019,1. BUNGOMA,34.54825241,0.593014541,404111019,WGS84,PMA
KE,2019,1. BUNGOMA,34.60572468,0.800059655,404111025,WGS84,PMA
KE,2019,8. NYAMIRA,34.92712613,-0.555016046,404181023,WGS84,PMA
KE,2019,5. KITUI,38.03607539,-1.376413074,404151008,WGS84,PMA
KE,2019,2. KERICHO,35.18259464,-0.58790717,404121005,WGS84,PMA
KE,2019,7. NANDI,35.29342975,0.127864307,404171022,WGS84,PMA
KE,2019,5. KITUI,38.3164171,-0.197903719,404151026,WGS84,PMA
KE,2019,1. BUNGOMA,34.8206843,0.806589526,404111014,WGS84,PMA
KE,2019,4. KILIFI,39.77367807,-3.858078416,404141003,WGS84,PMA
KE,2019,3. KIAMBU,36.69975286,-1.070280843,404131025,WGS84,PMA
KE,2019,1. BUNGOMA,34.75199015,0.610722566,404111017,WGS84,PMA
KE,2019,5. KITUI,37.82578131,-1.4858344,404151019,WGS84,PMA
KE,2019,3. KIAMBU,36.98602266,-1.01621376,404131026,WGS84,PMA
KE,2019,9. SIAYA,34.28054956,-0.032718073,404191007,WGS84,PMA
KE,2019,2. KERICHO,35.45208054,-0.220274579,404121006,WGS84,PMA
KE,2019,9. SIAYA,34.31826474,0.129850639,404191019,WGS84,PMA
KE,2019,9. SIAYA,34.31791561,0.212375186,404191013,WGS84,PMA
KE,2019,3. KIAMBU,36.84701538,-1.207628546,404131018,WGS84,PMA
KE,2019,11. WEST_POKOT,35.00601351,2.081318156,404211015,WGS84,PMA
KE,2019,5. KITUI,38.09204001,-1.454687697,404151009,WGS84,PMA
KE,2019,10. KAKAMEGA,35.09365684,0.747928715,404201011,WGS84,PMA
KE,2019,5. KITUI,38.29385791,-1.932432092,404151031,WGS84,PMA
KE,2019,10. KAKAMEGA,34.73008847,0.267740887,404201003,WGS84,PMA
KE,2019,9. SIAYA,34.36926623,-0.300428507,404191012,WGS84,PMA
KE,2019,5. KITUI,38.40833002,-1.749046648,404151029,WGS84,PMA
KE,2019,5. KITUI,38.06583478,-0.326276151,404151024,WGS84,PMA
KE,2019,1. BUNGOMA,34.66697844,0.738196217,404111010,WGS84,PMA
KE,2019,8. NYAMIRA,34.92417715,-0.564549818,404181025,WGS84,PMA
KE,2019,6. NAIROBI,36.87569853,-1.260592454,404161013,WGS84,PMA
KE,2019,9. SIAYA,34.38958471,0.279700232,404191003,WGS84,PMA
KE,2019,10. KAKAMEGA,34.86839081,0.432307405,404201020,WGS84,PMA
KE,2019,6. NAIROBI,36.75704975,-1.294183189,404161006,WGS84,PMA
KE,2019,5. KITUI,38.32053567,-1.500343769,404151002,WGS84,PMA
KE,2019,1. BUNGOMA,34.56423902,0.629318892,404111016,WGS84,PMA
KE,2019,8. NYAMIRA,35.04080258,-0.617466887,404181009,WGS84,PMA
KE,2019,4. KILIFI,40.11337956,-3.103139476,404141025,WGS84,PMA
KE,2019,3. KIAMBU,36.83358912,-1.049208992,404131015,WGS84,PMA
KE,2019,2. KERICHO,35.06847831,-0.448158356,404121010,WGS84,PMA
KE,2019,8. NYAMIRA,34.96529228,-0.573349052,404181021,WGS84,PMA
KE,2019,10. KAKAMEGA,34.56600212,0.327301778,404201013,WGS84,PMA
KE,2019,10. KAKAMEGA,34.97516771,0.242420359,404201001,WGS84,PMA
KE,2019,8. NYAMIRA,34.91351261,-0.541899003,404181019,WGS84,PMA
KE,2019,11. WEST_POKOT,35.64230764,1.469071575,404211017,WGS84,PMA
KE,2019,5. KITUI,37.99250261,-1.05364779,404151007,WGS84,PMA
KE,2019,10. KAKAMEGA,34.74488532,0.23015424,404201024,WGS84,PMA
KE,2019,3. KIAMBU,36.67411219,-1.169497034,404131029,WGS84,PMA
KE,2019,11. WEST_POKOT,34.91606953,2.333682282,404211020,WGS84,PMA
KE,2019,4. KILIFI,39.39459415,-3.728388328,404141018,WGS84,PMA
KE,2019,1. BUNGOMA,34.58185872,0.7390126,404111005,WGS84,PMA
KE,2019,9. SIAYA,34.27935761,-0.093214262,404191001,WGS84,PMA
KE,2019,3. KIAMBU,36.61638277,-0.860906274,404131017,WGS84,PMA
KE,2019,8. NYAMIRA,34.89326952,-0.514451509,404181004,WGS84,PMA
KE,2019,10. KAKAMEGA,34.67040809,0.223605614,404201025,WGS84,PMA
KE,2019,1. BUNGOMA,34.45190742,0.746278565,404111004,WGS84,PMA
KE,2019,7. NANDI,35.15929253,0.226288675,404171012,WGS84,PMA
KE,2019,3. KIAMBU,36.69185656,-1.252369429,404131014,WGS84,PMA
KE,2019,1. BUNGOMA,35.0345164,0.804832752,404111009,WGS84,PMA
KE,2019,6. NAIROBI,36.92530948,-1.249576787,404161023,WGS84,PMA
KE,2019,7. NANDI,35.05448031,0.047449261,404171037,WGS84,PMA
KE,2019,4. KILIFI,39.63818296,-3.809848755,404141015,WGS84,PMA
KE,2019,8. NYAMIRA,35.00661782,-0.493700212,404181015,WGS84,PMA
KE,2019,7. NANDI,35.10007525,0.21641381,404171033,WGS84,PMA
KE,2019,6. NAIROBI,36.84760955,-1.258382807,404161016,WGS84,PMA
KE,2019,1. BUNGOMA,34.51465109,0.491339182,404111023,WGS84,PMA
KE,2019,8. NYAMIRA,35.01362068,-0.853951009,404181014,WGS84,PMA
KE,2019,5. KITUI,38.22987309,-0.592070997,404151003,WGS84,PMA
KE,2019,1. BUNGOMA,34.88343822,0.692102777,404111024,WGS84,PMA
KE,2019,10. KAKAMEGA,34.62597621,0.160579512,404201015,WGS84,PMA
